Family,Species,Latitude,Longitude,Location,Source
Vespertilionidae,Scotophilus heathii,26.16,91.71,"Guwahati, Assam, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,29.21,79.51,"Haldwani, Uttarakhand, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,26.75,89.35,"Hasimara, West Bengal, India","Ghosh, 2008"
Vespertilionidae,Scotophilus heathii,23.98,85.35,"Hazaribagh, Jharkhand, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,15.35,75.16,"Hubli, Karnataka, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,33.71,73.06,"Islamabad City, Pakistan","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,23.16,79.93,"Jabalpur, Madhya Pradesh, India","Molur et al., 2002"
Vespertilionidae,Scotophilus heathii,28.27,68.43,"Jacobabad, Sind, Pakistan","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,34.43,70.46,"Jalalabad, Afghanistan","Gaisler, 1970a"
Vespertilionidae,Scotophilus heathii,26.5,88.5,"Jalpaiguri, Jalpaiguri district, West Bengal","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,32.726,74.854,"Jammu, Jammu & Kashmir, India",AMNH M-236218
Vespertilionidae,Scotophilus heathii,24.35,68.26,"Jati, Sind, Pakistan","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,28.12,75.39,"Jhunjhunu, Rajasthan, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,26.28,73.02,"Jodhpur, Rajasthan, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,12.2,76.66,"Kadakola, Karnataka, India","Molur et al., 2002"
Vespertilionidae,Scotophilus heathii,29.28,79.34,"Kaladhungi, Uttarakhand, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,26.05,92.85,"Kaliani, Assam, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,6.57,79.96,"Kalutara, Western Province, Sri Lanka","Phillips, 1980"
Vespertilionidae,Scotophilus heathii,7.28,80.63,"Kandy, Central Province, Sri Lanka","Phillips, 1980"
Vespertilionidae,Scotophilus heathii,24.89,67.02,"Karachi, Sind, Pakistan","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,28.42,69.57,"Kashmor, Sind, Pakistan","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,25.53,87.58,"Katihar, Jarkhand, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,25.238,82.513,"Khamaria, Uttar Pradesh, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,22.308,73.191,"Kirti Mandir, Gujarat, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,6.991,80.426,"Kitulgala, Sabaragamuwa Province, Sri Lanka","Phillips, 1980"
Vespertilionidae,Scotophilus heathii,26.25,89.5,"Koch Bihar, West Bengal, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,18.283333,83.55,"Koduru, Andhra Pradesh, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,33.589,71.434,"Kohat, NWFP, Pakistan","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,13.133,78.133,"Kolar, Karnataka, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,25.17,75.83,"Kota, Rajasthan, India","Advani, 1982b"
Vespertilionidae,Scotophilus heathii,7.483,80.366,"Kurenegala, North Western Province, Sri Lanka","Phillips, 1980"
Vespertilionidae,Scotophilus heathii,35.211,70.234,"Laghman, Afghanistan","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,31.567,74.34,"Lahore, Punjab, Pakistan","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,30.487,76.8,"Lalru, Haryana, India","Gandi, 1986b"
Vespertilionidae,Scotophilus heathii,26.216,68.334,"Landhi, Sind, Pakistan","Walton, 1974"
Vespertilionidae,Scotophilus heathii,25.056,92.856,"Loskor, (?)Assam, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,24.229,72.42,"Lunwa, Gujarat, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,16.47,79.44,"Macherla, Andhra Pradesh, India","Agrawal & Bhattacharyya, 1976"
Vespertilionidae,Scotophilus heathii,13.01,80.22,"Madras (=Chennai), Chennai district, Tamil Nadu","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,25,88.15,"Maldah, West Bengal, India","Bates & Harrison, 1997"
