"Family","Species","Latitude","Longitude","Location","Source"
"Hipposideridae","Hipposideros ater","19.1132",73.7327,"Ambegaon, Maharashtra, India","Saikia 2018"
"Hipposideridae","Hipposideros ater","19.2032",73.8743,"Junar, Maharashtra, India","Saikia 2018"
"Hipposideridae","Hipposideros ater","18.9192",73.3277,"Karjat, Maharashtra, India","Saikia 2018"
"Hipposideridae","Hipposideros ater","18.789",73.3414,"Khopoli, Pune district, Maharashtra, India","Saikia 2018"
"Hipposideridae","Hipposideros ater","17.9307",73.6477,"Mahabaleshwar, Maharashtra, India","Saikia 2018"
"Hipposideridae","Hipposideros ater","7.5033",81.233,"Maduru-Oya National Park, Sri Lanka","Edirisinghe et al 2018"
"Hipposideridae","Hipposideros ater","13.083",80,"Thiruneer malai, Central Madras, Tamilnadu, India","Duoangboubpha et al. (2011)"
"Hipposideridae","Hipposideros ater","8.75",77.717,"Sankanthira Mandapam, Northern Cherenmadevi, western Tirunelveli, India","Duoangboubpha et al. (2011)"
"Hipposideridae","Hipposideros ater","19.183",77.35,"Nanded, Maharastra, india","Duoangboubpha et al. (2011)"
"Hipposideridae","Hipposideros ater","15.5",75.066,"Dharwar, Karnataka, India","Duoangboubpha et al. (2011)"
"Hipposideridae","Hipposideros ater","12.533",76.233,"Trichur  district, Kerala, India","Duoangboubpha et al. (2011)"
"Hipposideridae","Hipposideros ater","12.1",78.6,"Tirthalamai, Salem district, Tamilnadu, India","Duoangboubpha et al. (2011)"
"Hipposideridae","Hipposideros ater","9.733",77.316,"Cumbum, Madurai Tamilnadu, India","Duoangboubpha et al. (2011)"
"Hipposideridae","Hipposideros ater","8.683",76.95,"Trivandrun, Kerala, India","Duoangboubpha et al. (2011)"
"Hipposideridae","Hipposideros ater","13.083",80,"Thiruneer malai, Central Madras, Tamilnadu, India","Duoangboubpha et al. (2011)"
"Hipposideridae","Hipposideros ater","8.75",77.717,"Sankanthira Mandapam, Northern Cherenmadevi, western Tirunelveli, India","Duoangboubpha et al. (2011)"
"Hipposideridae","Hipposideros ater","19.183",77.35,"Nanded, Maharastra, india","Duoangboubpha et al. (2011)"
"Hipposideridae","Hipposideros ater","15.5",75.066,"Dharwar, Karnataka, India","Duoangboubpha et al. (2011)"
"Hipposideridae","Hipposideros ater","12.533",76.233,"Trichur  district, Kerala, India","Duoangboubpha et al. (2011)"
"Hipposideridae","Hipposideros ater","12.1",78.6,"Tirthalamai, Salem district, Tamilnadu, India","Duoangboubpha et al. (2011)"
"Hipposideridae","Hipposideros ater","9.733",77.316,"Cumbum, Madurai Tamilnadu, India","Duoangboubpha et al. (2011)"
"Hipposideridae","Hipposideros ater","8.683",76.95,"Trivandrun, Kerala, India","Duoangboubpha et al. (2011)"
