Family,Species,Latitude,Longitude,Location,Source
Hipposideridae,Hipposideros speoris,16.47,79.44,"Macherla, Andhra Pradesh, India","Agrawal & Bhattacharyya, 1976"
Hipposideridae,Hipposideros speoris,13.15,80.24,"Madhavoram, Tamil Nadu, India",Molur et al. 2002
Hipposideridae,Hipposideros speoris,13.01,80.22,"Madras (=Chennai), Chennai district, Tamil Nadu","Jerdon, 1874"
Hipposideridae,Hipposideros speoris,9.91,78.12,"Madurai, Tamil Nadu, India","Marimuthu & Selvanayagam, 1981"
Hipposideridae,Hipposideros speoris,18.97,84.36,"Mahendragiri, Orissa, India","Bates & Harrison, 1997"
Hipposideridae,Hipposideros speoris,8.977,79.909,"Mannar, Northern Province, Sri Lanka","Wroughton, 1915ci"
Hipposideridae,Hipposideros speoris,7.467,80.624,"Matale, Central Province, Sri Lanka","Molur et al., 2002"
Hipposideridae,Hipposideros speoris,6.522,80.114,"Matugama, Western Province, Sri Lanka","Bates & Harrison, 1997"
Hipposideridae,Hipposideros speoris,6.89,81.345,"Monaragala, Uva Province, Sri Lanka","Molur et al., 2002"
Hipposideridae,Hipposideros speoris,18.19,79.94,"Mulug, Warangal, Andhra Pradesh, India","Ghosh, 2008"
Hipposideridae,Hipposideros speoris,8.72,77.83,"Murappanadu, Tamil Nadu, India","Molur et al., 2002"
Hipposideridae,Hipposideros speoris,14.437,74.46,"Muroor, Karnataka, India",Molur et al. 2002
Hipposideridae,Hipposideros speoris,11.127,78.658,"Mutheesvaram, Tamil Nadu, India","Molur et al., 2002"
Hipposideridae,Hipposideros speoris,12.3,76.65,"Mysore, Karnataka, India","Bates & Harrison, 1997"
Hipposideridae,Hipposideros speoris,8.17,77.43,"Nagarcoil, Tamil Nadu, India","Bates & Harrison, 1997"
Hipposideridae,Hipposideros speoris,15.67,78.78,"Nallamala Hills,  Andhra Pradesh, India",Molur et al. 2002
Hipposideridae,Hipposideros speoris,19.195,77.305,"Nanded, Maharashtra, India","Gopalakrishna &Bhatia, 1982"
Hipposideridae,Hipposideros speoris,17.679,73.958,"near Satara, Maharashtra, India","Hill, 1976b"
