Family,Species,Latitude,Longitude,Location,Source
Vespertilionidae,Pipistrellus coromandra,26.116,94.284,"Koia, Nagaland, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,22.56,88.36,"Kolkata, West Bengal, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,25.57,91.3,"Konshnong, Meghalaya, India","Hinton & Lindsay, 1926"
Vespertilionidae,Pipistrellus coromandra,7.11,80.85,"Kumbalgamuwa, Central Province, Sri Lanka","Phillips, 1980"
Vespertilionidae,Pipistrellus coromandra,7.483,80.366,"Kurenegala, North Western Province, Sri Lanka","Molur et al., 2002"
Vespertilionidae,Pipistrellus coromandra,24.229,72.42,"Lunwa, Gujarat, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,30.088,79.299,"Lwarkhet, Uttarakhand, India","Wroughton, 1914"
Vespertilionidae,Pipistrellus coromandra,26.354,86.067,"Madhubani, Bihar, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,7.905,81.131,"Manampitiya, North Central Province, Sri Lanka","Phillips, 1932biv"
Vespertilionidae,Pipistrellus coromandra,22.59,80.37,"Mandla, Madhya Pradesh, India","Molur et al., 2002"
Vespertilionidae,Pipistrellus coromandra,26.97,88.37,"Mangpu, Sikkim, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,26.514,89.277,"Mathura, West Bengal, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,21.17,72.9,"Mheskatri, Gujarat, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,25.15,82.58,"Mirzapur, Uttar Pradesh, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,15.38,74.17,"Mollem, Goa, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,6.89,81.345,"Monaragala, Uva Province, Sri Lanka","Molur et al., 2002"
Vespertilionidae,Pipistrellus coromandra,18.97,72.82,"Mumbai, Maharashtra, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,25.23,86.28,"Munger, Bihar, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,30.45,78.08,"Mussoorie, Uttar Pradesh, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,26.129,85.379,"Muzaffarpur, Bihar, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,6.144,80.338,"Nakiadeniya, Southern Province, Sri Lanka","Ryley, 1914b"
Vespertilionidae,Pipistrellus coromandra,6.926,81.123,"Namunukula, Uva Province, Sri Lanka","Phillips, 1980"
Vespertilionidae,Pipistrellus coromandra,23.883333,84.283333,"Palamau, Jharkhand, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,26.116667,91.5,"Palasbari, Assam, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,19.233333,73.033333,"Pareli, Maharashtra, India","Gaisler, 1970a"
Vespertilionidae,Pipistrellus coromandra,27.06,88.4,"Pashok, West Bengal, India","Wroughton, 1916ciii"
Vespertilionidae,Pipistrellus coromandra,6.93,81.15,"Passara, Uva Province, Sri Lanka","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,25.61,85.14,"Patna, Bihar, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,27.03,88.33,"Pedong, West Bengal, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,28.64,79.87,"Philibhit, Uttar Pradesh, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,16.37,73.79,"Phonda, Maharashtra, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,11.93,79.78,"Pondicherry, Tamil Nadu, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,18.47,73.79,"Pune, Maharashtra, India","Molur et al., 2002"
Vespertilionidae,Pipistrellus coromandra,25.783,87.466,"Purnea, Bihar, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,16.959,73.606,"Rajapur Taluka, Debhil Village, Ratnagiri Dist., Maharashtra",AMNH M-208147
Vespertilionidae,Pipistrellus coromandra,34.143,76.816,"Rambon, Jammu & Kashmir, India","Chakraborty, 1983"
Vespertilionidae,Pipistrellus coromandra,29.391,79.124,"Ramnagar, Uttarakhand, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,23.344,85.309,"Ranchi, Jharkhand, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,16.99,73.29,"Ratnagiri, Maharashtra, India","Brosset, 1962c"
Vespertilionidae,Pipistrellus coromandra,25.309,88.085,"Rongjuli, Assam, India","Molur et al., 2002"
Vespertilionidae,Pipistrellus coromandra,27.195,88.611,"Rongli, Sikkim, India","Wroughton, 1916b"
Vespertilionidae,Pipistrellus coromandra,26.431,90.263,"Sadiya, Assam, India","Kurup, 1968"
Vespertilionidae,Pipistrellus coromandra,25.71,86.451,"Saharsa, Bihar, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,34.745,72.35,"Saidu-Sharif, NWFP, Pakistan","Roberts, 1997"
Vespertilionidae,Pipistrellus coromandra,22.642,87.319,"Salbani, West Bengal, India","Gaisler, 1970a"
Vespertilionidae,Pipistrellus coromandra,15.326,75.717,"Samasgi, Karnataka, India","Wroughton, 1912c"
Vespertilionidae,Pipistrellus coromandra,25.85,85.78,"Samastipur, Bihar, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,9.916667,78.116667,"Samaya Malai, Tamil Nadu, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,24.5,87.5,"Santal Pargana, Jharkhand, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,34.012,75.008,"Shar, Jammu & Kashmir, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,11.22,76.48,"Siliguri, West Bengal, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,22.5,85.5,"Singhbhum, Jharkhand, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,12.297,77.167,"Sivasamudram, Karnataka, India","Ryley, 1913a"
Vespertilionidae,Pipistrellus coromandra,22.7117,78.198,"Sohagpur, Madhya Pradesh, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,12.024,75.988,"Srimangala, Karnataka, India","Bates & Harrison, 1997"
